,surface,region,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
292,134.0,41,3,1,Yes,No,No,No,Yes,Yes,No,295000.0
293,50.0,41,2,1,Yes,No,No,No,No,No,No,108000.0
294,100.0,41,3,1,Yes,No,No,No,No,Yes,No,178000.0
295,80.0,69,3,1,No,No,No,No,Yes,Yes,Yes,169000.0
296,147.0,58,3,2,Yes,No,No,No,No,Yes,No,320000.0
297,124.0,34,2,1,Yes,No,No,No,No,No,No,348000.0
298,107.0,32,2,1,Yes,No,No,No,Yes,Yes,No,240000.0
299,110.0,6,2,1,No,No,No,No,No,No,Yes,195000.0
300,132.0,6,3,1,Yes,No,No,No,Yes,Yes,No,255000.0
301,96.0,87,2,1,No,No,No,No,No,No,No,165000.0
302,75.0,13,3,1,No,No,No,No,No,Yes,No,190000.0
303,48.0,42,1,1,No,No,No,No,No,No,No,168999.0
304,178.0,37,3,2,Yes,No,No,No,Yes,Yes,No,485000.0
305,106.0,37,3,2,No,No,No,No,No,No,No,180000.0
306,120.0,13,3,1,No,No,No,No,No,Yes,No,285000.0
307,110.0,37,2,1,No,No,No,No,Yes,Yes,No,280000.0
308,100.0,42,2,1,Yes,No,No,No,Yes,Yes,Yes,270000.0
309,207.0,37,4,2,Yes,No,No,No,No,No,Yes,470000.0
310,190.0,1,4,2,Yes,No,No,No,No,No,No,780000.0
311,150.0,30,3,2,Yes,No,No,No,Yes,Yes,Yes,350000.0
312,118.0,23,2,1,Yes,No,No,No,Yes,Yes,Yes,400000.0
313,120.0,20,2,2,Yes,No,No,Yes,Yes,Yes,No,372000.0
314,90.0,48,3,2,Yes,No,No,No,No,Yes,Yes,245000.0
315,90.0,87,3,1,No,No,No,No,No,Yes,Yes,139000.0
316,73.0,42,2,1,Yes,No,No,No,Yes,Yes,No,180000.0
317,110.0,6,3,1,No,No,No,No,No,Yes,No,2800000.0
318,140.0,41,3,2,Yes,No,No,No,No,Yes,No,300000.0
319,128.0,41,3,2,Yes,No,No,No,No,Yes,Yes,360000.0
