surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
115.0,36,3.0,2,,,,,,,,295000.0
160.0,17,3.0,3,,,,,,,,620000.0
129.0,12,3.0,2,,,,,,,,590000.0
164.0,16,3.0,3,,,,,,,,300000.0
45.0,21,1.0,1,,,,,,,,80000.0
130.0,28,3.0,2,,,,,,,,220000.0
185.0,60,4.0,3,,,,,,,,525000.0
180.0,16,4.0,3,,,,,,,,485000.0
100.0,14,3.0,2,,,,,,,,220000.0
140.0,28,3.0,2,,,,,,,,285000.0
178.0,38,4.0,3,,,,,,,,385000.0
78.0,12,2.0,1,,,,,,,,215000.0
187.0,28,4.0,3,,,,,,,,467000.0
100.0,76,3.0,2,,,,,,,,200000.0
180.0,28,4.0,3,,,,,,,,400000.0
98.0,82,2.0,1,,,,,,,,200000.0
129.0,12,2.0,2,,,,,,,,370000.0
64.0,28,1.0,1,,,,,,,,179000.0
93.0,61,2.0,1,,,,,,,,180000.0
128.0,76,3.0,2,,,,,,,,192000.0
110.0,17,3.0,2,,,,,,,,300000.0
109.0,16,3.0,2,,,,,,,,160000.0
105.0,60,3.0,2,,,,,,,,130000.0
152.0,28,3.0,3,,,,,,,,280000.0
85.0,12,2.0,1,,,,,,,,220000.0
70.0,82,1.0,1,,,,,,,,83000.0
187.0,14,4.0,3,,,,,,,,450000.0
135.0,17,3.0,2,,,,,,,,295000.0
122.0,25,3.0,2,,,,,,,,280000.0
160.0,46,3.0,3,,,,,,,,250000.0
140.0,14,3.0,2,,,,,,,,340000.0
110.0,38,3.0,2,,,,,,,,160000.0
83.0,36,2.0,1,,,,,,,,190000.0
116.0,17,3.0,2,,,,,,,,300000.0
120.0,28,3.0,2,,,,,,,,280000.0
100.0,28,3.0,2,,,,,,,,430000.0
87.0,69,2.0,1,,,,,,,,140000.0
155.0,28,3.0,3,,,,,,,,240000.0
110.0,25,3.0,2,,,,,,,,210000.0
90.0,61,2.0,1,,,,,,,,158000.0
116.0,7,1.0,1,,,,,,,,671000.0
100.0,28,2.0,1,,,,,,,,210000.0
100.0,82,3.0,2,,,,,,,,170000.0
110.0,55,3.0,2,,,,,,,,145000.0
186.0,17,4.0,3,,,,,,,,850000.0
