surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
247,5,4,3,1,0,0,0,1,1,1,820000
134,5,3,2,1,0,0,0,1,1,1,450000
51,5,1,1,1,0,0,0,1,1,1,309000
152,5,3,3,0,0,0,0,1,1,1,820000
149,5,3,3,0,0,0,0,1,1,1,695000
163,5,4,3,0,0,0,0,1,1,1,875000
136,5,3,3,1,0,0,0,1,1,1,620000
136,5,3,3,1,0,0,0,1,1,1,620000
136,5,3,3,1,0,0,0,1,1,1,590000
99,5,2,2,1,0,0,0,1,1,1,437000
147,5,3,3,1,0,0,0,1,1,1,698000
172,5,4,3,1,0,0,0,1,1,1,780000
147,5,3,3,1,0,0,0,1,1,1,698000
118,5,2,2,1,0,0,0,1,1,1,547000
124,5,2,2,0,0,0,0,1,1,1,590000
98,5,2,1,1,0,0,0,1,1,1,368000
60,5,1,1,1,0,0,1,0,0,0,336000
127,45,3,2,0,0,0,0,1,1,1,295000
164,45,4,3,1,0,0,1,1,1,0,550000
57,45,1,1,0,0,0,0,1,1,1,135000
95,45,3,2,0,0,0,0,1,1,1,220000
62,32,1,1,1,0,0,0,1,1,1,210800
99,45,2,2,0,0,0,1,1,1,0,250000
89,32,2,1,1,0,0,0,1,1,1,374400
95,32,2,1,1,0,0,1,1,1,1,340800
139,32,3,2,1,0,0,1,1,1,1,489800
69,32,1,1,1,0,0,0,1,1,1,235000
71,32,1,1,1,0,0,1,1,1,1,234400
188,32,3,2,1,0,0,0,1,1,1,526400
136,32,2,1,1,0,0,0,1,1,1,375000
110,32,2,1,1,0,0,1,1,1,1,378100
104,32,2,2,1,0,0,0,1,1,1,285800
111,32,2,1,1,0,0,0,1,1,1,322300
117,32,2,1,1,0,0,0,1,1,1,324000
134,32,2,1,1,0,0,0,1,1,1,349300
136,32,2,1,1,0,0,0,1,1,1,384000
129,32,2,1,1,0,0,0,1,1,1,364600
171,32,3,2,1,0,0,1,1,1,0,495700
175,32,3,1,1,0,0,1,1,1,1,599700
144,45,3,2,0,0,0,0,1,1,1,330000
89,32,2,1,1,0,0,0,1,1,1,284800
136,45,3,1,0,0,0,0,1,1,1,340000
142,32,3,2,1,0,0,0,1,1,1,426000
75,32,1,1,1,0,0,0,1,1,1,255000
